home_team_name,away_team_name,attendance,match_date,tournament_year
Argentina,France,88966,2022-12-18,2022
Croatia,Morocco,44137,2022-12-17,2022
France,Morocco,68294,2022-12-14,2022
Argentina,Croatia,88966,2022-12-13,2022
Morocco,Portugal,44198,2022-12-10,2022
England,France,68895,2022-12-10,2022
Croatia,Brazil,43893,2022-12-09,2022
Netherlands,Argentina,88235,2022-12-09,2022
Morocco,Spain,44667,2022-12-06,2022
Portugal,Switzerland,83720,2022-12-06,2022
Japan,Croatia,42523,2022-12-05,2022
Brazil,Korea Republic,43847,2022-12-05,2022
France,Poland,40989,2022-12-04,2022
England,Senegal,65985,2022-12-04,2022
Netherlands,United States,44846,2022-12-03,2022
Argentina,Australia,45032,2022-12-03,2022
Korea Republic,Portugal,44097,2022-12-02,2022
Ghana,Uruguay,43443,2022-12-02,2022
Cameroon,Brazil,85986,2022-12-02,2022
Serbia,Switzerland,41378,2022-12-02,2022
Canada,Morocco,43102,2022-12-01,2022
Croatia,Belgium,43984,2022-12-01,2022
Costa Rica,Germany,67054,2022-12-01,2022
Japan,Spain,44851,2022-12-01,2022
Australia,Denmark,41232,2022-11-30,2022
Tunisia,France,43627,2022-11-30,2022
Saudi Arabia,Mexico,84985,2022-11-30,2022
Poland,Argentina,44089,2022-11-30,2022
Ecuador,Senegal,44569,2022-11-29,2022
Netherlands,Qatar,66784,2022-11-29,2022
IR Iran,United States,42127,2022-11-29,2022
Wales,England,44297,2022-11-29,2022
Cameroon,Serbia,39789,2022-11-28,2022
Korea Republic,Ghana,43983,2022-11-28,2022
Brazil,Switzerland,43649,2022-11-28,2022
Portugal,Uruguay,88668,2022-11-28,2022
Japan,Costa Rica,41479,2022-11-27,2022
Belgium,Morocco,43738,2022-11-27,2022
Croatia,Canada,44374,2022-11-27,2022
Spain,Germany,68895,2022-11-27,2022
Tunisia,Australia,41823,2022-11-26,2022
Poland,Saudi Arabia,44259,2022-11-26,2022
France,Denmark,42860,2022-11-26,2022
Argentina,Mexico,88966,2022-11-26,2022
Wales,IR Iran,40875,2022-11-25,2022
Qatar,Senegal,41797,2022-11-25,2022
Netherlands,Ecuador,44833,2022-11-25,2022
England,United States,68463,2022-11-25,2022
Switzerland,Cameroon,39089,2022-11-24,2022
Uruguay,Korea Republic,41663,2022-11-24,2022
Portugal,Ghana,42662,2022-11-24,2022
Brazil,Serbia,88103,2022-11-24,2022
Morocco,Croatia,59407,2022-11-23,2022
Germany,Japan,42608,2022-11-23,2022
Spain,Costa Rica,40013,2022-11-23,2022
Belgium,Canada,40432,2022-11-23,2022
Argentina,Saudi Arabia,88012,2022-11-22,2022
Denmark,Tunisia,42925,2022-11-22,2022
Mexico,Poland,39369,2022-11-22,2022
France,Australia,40875,2022-11-22,2022
England,IR Iran,45334,2022-11-21,2022
Senegal,Netherlands,41721,2022-11-21,2022
United States,Wales,43418,2022-11-21,2022
Qatar,Ecuador,67372,2022-11-20,2022
France,Croatia,78011,2018-07-15,2018
Belgium,England,64406,2018-07-14,2018
Croatia,England,78011,2018-07-11,2018
France,Belgium,64286,2018-07-10,2018
Sweden,England,39991,2018-07-07,2018
Russia,Croatia,44287,2018-07-07,2018
Uruguay,France,43319,2018-07-06,2018
Brazil,Belgium,42873,2018-07-06,2018
Sweden,Switzerland,64042,2018-07-03,2018
Colombia,England,44190,2018-07-03,2018
Brazil,Mexico,41970,2018-07-02,2018
Belgium,Japan,41466,2018-07-02,2018
Spain,Russia,78011,2018-07-01,2018
Croatia,Denmark,40851,2018-07-01,2018
France,Argentina,42873,2018-06-30,2018
Uruguay,Portugal,44287,2018-06-30,2018
Japan,Poland,42189,2018-06-28,2018
Senegal,Colombia,41970,2018-06-28,2018
England,Belgium,33973,2018-06-28,2018
Panama,Tunisia,37168,2018-06-28,2018
Korea Republic,Germany,41835,2018-06-27,2018
Mexico,Sweden,33061,2018-06-27,2018
Switzerland,Costa Rica,43319,2018-06-27,2018
Serbia,Brazil,44190,2018-06-27,2018
Australia,Peru,44073,2018-06-26,2018
Denmark,France,78011,2018-06-26,2018
Iceland,Croatia,43472,2018-06-26,2018
Nigeria,Argentina,64468,2018-06-26,2018
Saudi Arabia,Egypt,36823,2018-06-25,2018
Uruguay,Russia,41970,2018-06-25,2018
Spain,Morocco,33973,2018-06-25,2018
IR Iran,Portugal,41685,2018-06-25,2018
England,Panama,43319,2018-06-24,2018
Japan,Senegal,32572,2018-06-24,2018
Poland,Colombia,42873,2018-06-24,2018
Belgium,Tunisia,44190,2018-06-23,2018
Korea Republic,Mexico,43472,2018-06-23,2018
Germany,Sweden,44287,2018-06-23,2018
Brazil,Costa Rica,64468,2018-06-22,2018
Nigeria,Iceland,40904,2018-06-22,2018
Serbia,Switzerland,33167,2018-06-22,2018
Denmark,Australia,40727,2018-06-21,2018
France,Peru,32789,2018-06-21,2018
Argentina,Croatia,43319,2018-06-21,2018
Portugal,Morocco,78011,2018-06-20,2018
Uruguay,Saudi Arabia,42678,2018-06-20,2018
IR Iran,Spain,42718,2018-06-20,2018
Colombia,Japan,40842,2018-06-19,2018
Poland,Senegal,44190,2018-06-19,2018
Russia,Egypt,64468,2018-06-19,2018
Sweden,Korea Republic,42300,2018-06-18,2018
Belgium,Panama,43257,2018-06-18,2018
Tunisia,England,41064,2018-06-18,2018
Costa Rica,Serbia,41432,2018-06-17,2018
Germany,Mexico,78011,2018-06-17,2018
Brazil,Switzerland,43109,2018-06-17,2018
France,Australia,41279,2018-06-16,2018
Argentina,Iceland,44190,2018-06-16,2018
Peru,Denmark,40502,2018-06-16,2018
Croatia,Nigeria,31136,2018-06-16,2018
Egypt,Uruguay,27015,2018-06-15,2018
Morocco,IR Iran,62548,2018-06-15,2018
Portugal,Spain,43866,2018-06-15,2018
Russia,Saudi Arabia,78011,2018-06-14,2018
Germany,Argentina,74738,2014-07-13,2014
Brazil,Netherlands,68034,2014-07-12,2014
Netherlands,Argentina,63267,2014-07-09,2014
Brazil,Germany,58141,2014-07-08,2014
Argentina,Belgium,68551,2014-07-05,2014
Netherlands,Costa Rica,51179,2014-07-05,2014
France,Germany,74240,2014-07-04,2014
Brazil,Colombia,60342,2014-07-04,2014
Argentina,Switzerland,63255,2014-07-01,2014
Belgium,United States,51227,2014-07-01,2014
France,Nigeria,67882,2014-06-30,2014
Germany,Algeria,43063,2014-06-30,2014
Netherlands,Mexico,58817,2014-06-29,2014
Costa Rica,Greece,41242,2014-06-29,2014
Brazil,Chile,57714,2014-06-28,2014
Colombia,Uruguay,73804,2014-06-28,2014
United States,Germany,41876,2014-06-26,2014
Portugal,Ghana,67540,2014-06-26,2014
Korea Republic,Belgium,61397,2014-06-26,2014
Algeria,Russia,39311,2014-06-26,2014
Bosnia and Herzegovina,IR Iran,48011,2014-06-25,2014
Nigeria,Argentina,43285,2014-06-25,2014
Honduras,Switzerland,40322,2014-06-25,2014
Ecuador,France,73749,2014-06-25,2014
Costa Rica,England,57823,2014-06-24,2014
Italy,Uruguay,39706,2014-06-24,2014
Japan,Colombia,40340,2014-06-24,2014
Greece,Côte d'Ivoire,59095,2014-06-24,2014
Australia,Spain,39375,2014-06-23,2014
Netherlands,Chile,62996,2014-06-23,2014
Croatia,Mexico,41212,2014-06-23,2014
Cameroon,Brazil,69112,2014-06-23,2014
Belgium,Russia,73819,2014-06-22,2014
Korea Republic,Algeria,42732,2014-06-22,2014
United States,Portugal,40123,2014-06-22,2014
Argentina,IR Iran,57698,2014-06-21,2014
Germany,Ghana,59621,2014-06-21,2014
Nigeria,Bosnia and Herzegovina,40499,2014-06-21,2014
Italy,Costa Rica,40285,2014-06-20,2014
Switzerland,France,51003,2014-06-20,2014
Honduras,Ecuador,39224,2014-06-20,2014
Colombia,Côte d'Ivoire,68748,2014-06-19,2014
Uruguay,England,62575,2014-06-19,2014
Japan,Greece,39485,2014-06-19,2014
Australia,Netherlands,42877,2014-06-18,2014
Spain,Chile,74101,2014-06-18,2014
Cameroon,Croatia,39982,2014-06-18,2014
Belgium,Algeria,56800,2014-06-17,2014
Brazil,Mexico,60342,2014-06-17,2014
Russia,Korea Republic,37603,2014-06-17,2014
Germany,Portugal,51081,2014-06-16,2014
IR Iran,Nigeria,39081,2014-06-16,2014
Ghana,United States,39760,2014-06-16,2014
Switzerland,Ecuador,68351,2014-06-15,2014
France,Honduras,43012,2014-06-15,2014
Argentina,Bosnia and Herzegovina,74738,2014-06-15,2014
Colombia,Greece,57174,2014-06-14,2014
Uruguay,Costa Rica,58679,2014-06-14,2014
England,Italy,39800,2014-06-14,2014
Côte d'Ivoire,Japan,40267,2014-06-14,2014
Mexico,Cameroon,39216,2014-06-13,2014
Spain,Netherlands,48173,2014-06-13,2014
Chile,Australia,40275,2014-06-13,2014
Brazil,Croatia,62103,2014-06-12,2014
Netherlands,Spain,84490,2010-07-11,2010
Uruguay,Germany,36254,2010-07-10,2010
Germany,Spain,60960,2010-07-07,2010
Uruguay,Netherlands,62479,2010-07-06,2010
Argentina,Germany,64100,2010-07-03,2010
Paraguay,Spain,55359,2010-07-03,2010
