key_id,player_id,family_name,given_name,birth_date,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments,player_wikipedia_link,full_name
1,P-08891,A'Court,Alan,1934-09-30,0,0,0,1,1,1958,https://en.wikipedia.org/wiki/Alan_A%27Court,Alan A'Court
2,P-08589,Aaronson,Brenden,2000-10-22,0,0,0,1,1,2022,https://en.wikipedia.org/wiki/Brenden_Aaronson,Brenden Aaronson
3,P-04897,Abadzhiev,Stefan,1934-07-03,0,0,0,1,1,1966,https://en.wikipedia.org/wiki/Stefan_Abadzhiev,Stefan Abadzhiev
4,P-05556,Abalo,Jean-Paul,1975-06-26,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Jean-Paul_Abalo,Jean-Paul Abalo
5,P-08163,Abanda,Patrice,1978-08-03,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Patrice_Abanda,Patrice Abanda
6,P-04427,Abate,Ignazio,1986-11-12,0,1,0,0,1,2014,https://en.wikipedia.org/wiki/Ignazio_Abate,Ignazio Abate
7,P-03687,Abbadie,Julio,1930-09-07,0,0,0,1,1,1954,https://en.wikipedia.org/wiki/Julio_Abbadie,Julio Abbadie
8,P-09495,Abbes,Claude,1927-05-24,1,0,0,0,2,"1954, 1958",https://en.wikipedia.org/wiki/Claude_Abbes,Claude Abbes
9,P-05092,Abbiati,Christian,1977-07-08,1,0,0,0,1,2002,https://en.wikipedia.org/wiki/Christian_Abbiati,Christian Abbiati
10,P-07645,Abbondanzieri,Roberto,1972-08-19,1,0,0,0,1,2006,https://en.wikipedia.org/wiki/Roberto_Abbondanzieri,Roberto Abbondanzieri
11,P-01553,Abd Al-Jawad,Mohamed,1962-11-28,0,1,0,0,1,1994,https://en.wikipedia.org/wiki/Mohamed_Abd_Al-Jawad,Mohamed Abd Al-Jawad
12,P-00267,Abdel Rahman,Adel,1967-12-11,0,0,0,1,1,1990,https://en.wikipedia.org/wiki/Adel_Abdel_Rahman,Adel Abdel Rahman
13,P-00293,Abdel Shafy,Mohamed,1985-07-01,0,1,0,0,1,2018,https://en.wikipedia.org/wiki/Mohamed_Abdel_Shafy,Mohamed Abdel Shafy
14,P-09017,Abdel-Hamid,Gamal,1957-11-24,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Gamal_Abdel-Hamid,Gamal Abdel-Hamid
15,P-09377,Abdelghani,Magdi,1959-07-27,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Magdi_Abdelghani,Magdi Abdelghani
16,P-03371,Abdellah,Nacer,1966-03-03,0,1,0,0,1,1994,https://en.wikipedia.org/wiki/Nacer_Abdellah,Nacer Abdellah
17,P-00323,Abdi,Ali,1993-12-20,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Ali_Abdi_(footballer),Ali Abdi
18,P-00900,Abdollahi,Nasrollah,1951-09-02,0,1,0,0,1,1978,https://en.wikipedia.org/wiki/Nasrollah_Abdollahi,Nasrollah Abdollahi
19,P-03807,Abdoun,Djamel,1986-02-14,0,0,1,0,1,2010,https://en.wikipedia.org/wiki/Djamel_Abdoun,Djamel Abdoun
20,P-02068,Abdul Samed,Salis,2000-03-26,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Salis_Abdul_Samed,Salis Abdul Samed
21,P-03837,Abdulghani,Hussein,1977-01-21,0,1,0,0,2,"2002, 2006",https://en.wikipedia.org/wiki/Hussein_Sulaimani,Hussein Abdulghani
22,P-09643,Abdulghani,Hussein,1977-01-23,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Hussein_Abdulghani,Hussein Abdulghani
23,P-06913,Abdulhamid,Saud,1999-07-18,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Saud_Abdulhamid,Saud Abdulhamid
24,P-09894,Abdullah,Majed,1959-11-01,0,0,0,1,1,1994,https://en.wikipedia.org/wiki/Majed_Abdullah,Majed Abdullah
25,P-03995,Abdullahi,Shehu,1993-03-12,0,1,0,0,1,2018,https://en.wikipedia.org/wiki/Shehu_Abdullahi,Shehu Abdullahi
26,P-00290,Abdulrahman,Fahad,1962-10-10,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Fahad_Abdulrahman,Fahad Abdulrahman
27,P-08275,Abe,Yuki,1981-09-06,0,0,1,0,1,2010,https://en.wikipedia.org/wiki/Yuki_Abe,Yuki Abe
28,P-05656,Abedzadeh,Ahmad Reza,1966-05-25,1,0,0,0,1,1998,https://en.wikipedia.org/wiki/Ahmad_Reza_Abedzadeh,Ahmad Reza Abedzadeh
29,P-09414,Abedzadeh,Amir,1993-04-26,1,0,0,0,2,"2018, 2022",https://en.wikipedia.org/wiki/Amir_Abedzadeh,Amir Abedzadeh
30,P-05438,Abega,Théophile,1954-07-09,0,0,1,0,1,1982,https://en.wikipedia.org/wiki/Th%C3%A9ophile_Abega,Théophile Abega
31,P-00794,Abegglen,André,1909-03-07,0,0,0,1,2,"1934, 1938",https://en.wikipedia.org/wiki/Andr%C3%A9_Abegglen,André Abegglen
32,P-03292,Abel,not applicable,1952-09-01,0,1,0,0,1,1978,https://en.wikipedia.org/wiki/Abel_Braga,not applicable Abel
33,P-08182,Abelardo,not applicable,1970-03-19,0,1,0,0,2,"1994, 1998",https://en.wikipedia.org/wiki/Abelardo_Fern%C3%A1ndez,not applicable Abelardo
34,P-06599,Abeledo,Ramón,1937-04-29,0,0,1,0,1,1962,https://en.wikipedia.org/wiki/Ram%C3%B3n_Abeledo,Ramón Abeledo
35,P-09195,Abid,Anad,1955-08-03,0,0,0,1,1,1986,https://en.wikipedia.org/wiki/Anad_Abid,Anad Abid
36,P-03868,Abidal,Eric,1979-09-11,0,1,0,0,2,"2006, 2010",https://en.wikipedia.org/wiki/Eric_Abidal,Eric Abidal
