player_id,given_name,family_name,count_tournaments,list_tournaments,list_teams_name,list_teams_code,teams_num,full_name
P-08891,Alan,A'Court,1,1958,['England'],['ENG'],1,Alan A'Court
P-08589,Brenden,Aaronson,1,2022,['United States'],['USA'],1,Brenden Aaronson
P-04897,Stefan,Abadzhiev,1,1966,['Bulgaria'],['BGR'],1,Stefan Abadzhiev
P-05556,Jean-Paul,Abalo,1,2006,['Togo'],['TGO'],1,Jean-Paul Abalo
P-08163,Patrice,Abanda,1,1998,['Cameroon'],['CMR'],1,Patrice Abanda
P-04427,Ignazio,Abate,1,2014,['Italy'],['ITA'],1,Ignazio Abate
P-03687,Julio,Abbadie,1,1954,['Uruguay'],['URY'],1,Julio Abbadie
P-09495,Claude,Abbes,2,"1954, 1958",['France'],['FRA'],1,Claude Abbes
P-05092,Christian,Abbiati,1,2002,['Italy'],['ITA'],1,Christian Abbiati
P-07645,Roberto,Abbondanzieri,1,2006,['Argentina'],['ARG'],1,Roberto Abbondanzieri
P-01553,Mohamed,Abd Al-Jawad,1,1994,['Saudi Arabia'],['SAU'],1,Mohamed Abd Al-Jawad
P-00267,Adel,Abdel Rahman,1,1990,['Egypt'],['EGY'],1,Adel Abdel Rahman
P-00293,Mohamed,Abdel Shafy,1,2018,['Egypt'],['EGY'],1,Mohamed Abdel Shafy
P-09017,Gamal,Abdel-Hamid,1,1990,['Egypt'],['EGY'],1,Gamal Abdel-Hamid
P-09377,Magdi,Abdelghani,1,1990,['Egypt'],['EGY'],1,Magdi Abdelghani
P-03371,Nacer,Abdellah,1,1994,['Morocco'],['MAR'],1,Nacer Abdellah
P-00323,Ali,Abdi,1,2022,['Tunisia'],['TUN'],1,Ali Abdi
P-00900,Nasrollah,Abdollahi,1,1978,['Iran'],['IRN'],1,Nasrollah Abdollahi
P-03807,Djamel,Abdoun,1,2010,['Algeria'],['DZA'],1,Djamel Abdoun
P-02068,Salis,Abdul Samed,1,2022,['Ghana'],['GHA'],1,Salis Abdul Samed
P-03837,Hussein,Abdulghani,2,"2002, 2006",['Saudi Arabia'],['SAU'],1,Hussein Abdulghani
P-09643,Hussein,Abdulghani,1,1998,['Saudi Arabia'],['SAU'],1,Hussein Abdulghani
P-06913,Saud,Abdulhamid,1,2022,['Saudi Arabia'],['SAU'],1,Saud Abdulhamid
P-09894,Majed,Abdullah,1,1994,['Saudi Arabia'],['SAU'],1,Majed Abdullah
P-03995,Shehu,Abdullahi,1,2018,['Nigeria'],['NGA'],1,Shehu Abdullahi
P-00290,Fahad,Abdulrahman,1,1990,['United Arab Emirates'],['ARE'],1,Fahad Abdulrahman
P-08275,Yuki,Abe,1,2010,['Japan'],['JPN'],1,Yuki Abe
P-05656,Ahmad Reza,Abedzadeh,1,1998,['Iran'],['IRN'],1,Ahmad Reza Abedzadeh
P-09414,Amir,Abedzadeh,2,"2018, 2022",['Iran'],['IRN'],1,Amir Abedzadeh
P-05438,Théophile,Abega,1,1982,['Cameroon'],['CMR'],1,Théophile Abega
P-00794,André,Abegglen,2,"1934, 1938",['Switzerland'],['CHE'],1,André Abegglen
P-03292,not applicable,Abel,1,1978,['Brazil'],['BRA'],1,not applicable Abel
P-08182,not applicable,Abelardo,2,"1994, 1998",['Spain'],['ESP'],1,not applicable Abelardo
P-06599,Ramón,Abeledo,1,1962,['Argentina'],['ARG'],1,Ramón Abeledo
P-09195,Anad,Abid,1,1986,['Iraq'],['IRQ'],1,Anad Abid
P-03868,Eric,Abidal,2,"2006, 2010",['France'],['FRA'],1,Eric Abidal
P-04927,Juan Carlos,Ablanedo,2,"1986, 1990",['Spain'],['ESP'],1,Juan Carlos Ablanedo
P-05268,Attila,Abonyi,1,1974,['Australia'],['AUS'],1,Attila Abonyi
P-02166,Vincent,Aboubakar,3,"2010, 2014, 2022",['Cameroon'],['CMR'],1,Vincent Aboubakar
P-05068,Zakaria,Aboukhlal,1,2022,['Morocco'],['MAR'],1,Zakaria Aboukhlal
P-02897,Taher,Abouzeid,1,1990,['Egypt'],['EGY'],1,Taher Abouzeid
P-01212,Henock,Abrahamsson,1,1938,['Sweden'],['SWE'],1,Henock Abrahamsson
P-09321,Rüdiger,Abramczik,1,1978,['West Germany'],['DEU'],1,Rüdiger Abramczik
P-06302,Lahcen,Abrami,1,1998,['Morocco'],['MAR'],1,Lahcen Abrami
P-09628,Marco,Abreu,1,2006,['Angola'],['AGO'],1,Marco Abreu
P-00305,Sebastián,Abreu,2,"2002, 2010",['Uruguay'],['URY'],1,Sebastián Abreu
P-08516,not applicable,Acácio,1,1990,['Brazil'],['BRA'],1,not applicable Acácio
P-09912,Eusebio,Acasuzo,1,1982,['Peru'],['PER'],1,Eusebio Acasuzo
P-09766,Germán,Aceros,1,1962,['Colombia'],['COL'],1,Germán Aceros
P-00930,Danilo,Aceval,1,1998,['Paraguay'],['PRY'],1,Danilo Aceval
P-00538,David,Acevedo,1,1958,['Argentina'],['ARG'],1,David Acevedo
P-08731,Eduardo Mario,Acevedo,1,1986,['Uruguay'],['URY'],1,Eduardo Mario Acevedo
P-06459,Elmer,Acevedo,1,1970,['El Salvador'],['SLV'],1,Elmer Acevedo
P-03088,Alberto,Achá,1,1950,['Bolivia'],['BOL'],1,Alberto Achá
P-02305,Gabriel,Achilier,1,2014,['Ecuador'],['ECU'],1,Gabriel Achilier
