key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code,tournament_year,full_name
1,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-06987,Bossio,Ángel,0,goal keeper,GK,1930,Ángel Bossio
2,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-00287,Botasso,Juan,0,goal keeper,GK,1930,Juan Botasso
3,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-01435,Cherro,Roberto,0,forward,FW,1930,Roberto Cherro
4,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-01321,Chividini,Alberto,0,defender,DF,1930,Alberto Chividini
5,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-08552,Della Torre,José,0,defender,DF,1930,José Della Torre
6,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-02845,Demaría,Attilio,0,forward,FW,1930,Attilio Demaría
7,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-06328,Evaristo,Juan,0,midfielder,MF,1930,Juan Evaristo
8,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-03577,Evaristo,Mario,0,forward,FW,1930,Mario Evaristo
9,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-02252,Ferreira,Manuel,0,forward,FW,1930,Manuel Ferreira
10,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-02543,Monti,Luis,0,midfielder,MF,1930,Luis Monti
11,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-09727,Muttis,Ramón,0,defender,DF,1930,Ramón Muttis
12,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-07275,Orlandini,Rodolfo,0,midfielder,MF,1930,Rodolfo Orlandini
13,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-09926,Paternoster,Fernando,0,defender,DF,1930,Fernando Paternoster
14,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-07134,Perinetti,Natalio,0,forward,FW,1930,Natalio Perinetti
15,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-07580,Peucelle,Carlos,0,forward,FW,1930,Carlos Peucelle
16,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-05506,Piaggio,Edmundo,0,defender,DF,1930,Edmundo Piaggio
17,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,P-09209,Scopelli,Alejandro,0,forward,FW,1930,Alejandro Scopelli
